Year,Ceremony,Award,Winner,Name,Film
1932,5,Short Subject (Cartoon),,Leon Schlesinger: Producer,It's Got Me Again 
1932,5,Short Subject (Cartoon),,Walt Disney: Producer,Mickey's Orphans 
1932,5,Short Subject (Comedy),,Mack Sennett: Producer,The Loud Mouth 
1932,5,Short Subject (Comedy),1,Hal Roach: Producer,The Music Box 
1932,5,Short Subject (Comedy),,RKO Radio,Scratch-As-Catch-Can 
1932,5,Short Subject (Comedy),,RKO Radio,Stout Hearts and Willing Hands 
1932,5,Short Subject (Novelty),,Paramount Publix,Screen Souvenirs 
1932,5,Short Subject (Novelty),,Metro-Goldwyn-Mayer,Swing High 
1932,5,Short Subject (Novelty),1,Mack Sennett: Producer,Wrestling Swordfish 
1932,5,Writing (Adaptation),,Sidney Howard,Arrowsmith 
1932,5,Writing (Adaptation),1,Edwin Burke,Bad Girl 
1932,5,Writing (Adaptation),,Percy Heath; Samuel Hoffenstein,Dr. Jekyll and Mr. Hyde 
1932,5,Writing (Original Story),1,Frances Marion,The Champ 
1932,5,Writing (Original Story),,Grover Jones; William Slavens McNutt,Lady and Gent 
1932,5,Writing (Original Story),,Lucien Hubbard,The Star Witness 
1932,5,Writing (Original Story),,Adela Rogers St. Johns; Jane Murfin,What Price Hollywood? 
1932,5,Special Award,1,Walt Disney,Mickey Mouse
1933,6,Actor,,Leslie Howard,Berkeley Square
1933,6,Actor,1,Charles Laughton,The Private Life of Henry VIII
1933,6,Actor,,Paul Muni,I Am a Fugitive from a Chain Gang
1933,6,Actress,1,Katharine Hepburn,Morning Glory
1933,6,Actress,,May Robson,Lady for a Day
1933,6,Actress,,Diana Wynyard,Cavalcade
1933,6,Art Direction,1,William S. Darling,Cavalcade 
1933,6,Art Direction,,Hans Dreier; Roland Anderson,A Farewell to Arms 
1933,6,Art Direction,,Cedric Gibbons,When Ladies Meet 
1933,6,Cinematography,1,"Charles Bryant Lang, Jr.",A Farewell to Arms 
1933,6,Cinematography,,George J. Folsey,Reunion in Vienna 
1933,6,Cinematography,,Karl Struss,The Sign of the Cross 
1933,6,Directing,1,Frank Lloyd,Cavalcade 
1933,6,Directing,,Frank Capra,Lady for a Day 
1933,6,Directing,,George Cukor,Little Women 
1933,6,Outstanding Production,1,Fox,Cavalcade 
1933,6,Outstanding Production,,Paramount,A Farewell to Arms 
1933,6,Outstanding Production,,Warner Brothers,42nd Street
1933,6,Outstanding Production,,Warner Brothers,I Am a Fugitive from a Chain Gang 
1933,6,Outstanding Production,,Columbia,Lady for a Day 
1933,6,Outstanding Production,,RKO Radio,Little Women 
1933,6,Outstanding Production,,London Films,The Private Life of Henry VIII 
1933,6,Outstanding Production,,Paramount,She Done Him Wrong 
1933,6,Outstanding Production,,Metro-Goldwyn-Mayer,Smilin' Through 
1933,6,Outstanding Production,,Fox,State Fair 
1933,6,Short Subject (Cartoon),,Walt Disney: Producer,Building a Building 
1933,6,Short Subject (Cartoon),,Walter Lantz: Producer,The Merry Old Soul 
1933,6,Short Subject (Cartoon),1,Walt Disney: Producer,The Three Little Pigs 
1933,6,Short Subject (Comedy),,Warren Doane: Producer,Mister Mugg 
1933,6,Short Subject (Comedy),,Louis Brock: Producer,A Preferred List 
1933,6,Short Subject (Comedy),1,Louis Brock: Producer,So This Is Harris 
1933,6,Short Subject (Novelty),1,Joe Rock: Producer,Krakatoa 
1933,6,Short Subject (Novelty),,Pete Smith: Producer,Menu 
1933,6,Short Subject (Novelty),,Educational,The Sea 
1933,6,Sound Recording,1,"Franklin B. Hansen: Sound Director, Paramount Studio Sound Department",A Farewell to Arms 
1933,6,Sound Recording,,"Nathan Levinson: Sound Director, Warner Brothers Studio Sound Department",42nd Street
1933,6,Sound Recording,,"Nathan Levinson: Sound Director, Warner Brothers Studio Sound Department",Gold Diggers
1933,6,Sound Recording,,"Nathan Levinson: Sound Director, Warner Brothers Studio Sound Department",I Am a Fugitive from a Chain Gang 
1933,6,Writing (Adaptation),,Robert Riskin,Lady for a Day 
1933,6,Writing (Adaptation),1,Victor Heerman; Sarah Y. Mason,Little Women 
1933,6,Writing (Adaptation),,Paul Green; Sonya Levien,State Fair 
1933,6,Writing (Original Story),1,Robert Lord,One Way Passage 
1933,6,Writing (Original Story),,Frances Marion,The Prizefighter and the Lady 
1933,6,Writing (Original Story),,Charles MacArthur,Rasputin and the Empress 
1934,7,Actor,1,Clark Gable,It Happened One Night
1934,7,Actor,,Frank Morgan,The Affairs of Cellini
1934,7,Actor,,William Powell,The Thin Man
1934,7,Actress,1,Claudette Colbert,It Happened One Night
1934,7,Actress,,Bette Davis,Of Human Bondage
1934,7,Actress,,Grace Moore,One Night of Love
1934,7,Actress,,Norma Shearer,The Barretts of Wimpole Street
1934,7,Art Direction,,Richard Day,The Affairs of Cellini 
1934,7,Art Direction,,Van Nest Polglase; Carroll Clark,The Gay Divorcee 
1934,7,Art Direction,1,Cedric Gibbons; Fredric Hope,The Merry Widow 
1934,7,Assistant Director,,Cullen Tate,Cleopatra 
1934,7,Assistant Director,,Scott Beal,Imitation of Life 
1934,7,Assistant Director,1,John Waters,Viva Villa! 
1934,7,Cinematography,,Charles Rosher,The Affairs of Cellini 
1934,7,Cinematography,1,Victor Milner,Cleopatra 
1934,7,Cinematography,,George Folsey,Operator 13
1934,7,Directing,1,Frank Capra,It Happened One Night 
1934,7,Directing,,Victor Schertzinger,One Night of Love 
1934,7,Directing,,W. S. Van Dyke,The Thin Man 
1934,7,Film Editing,,Anne Bauchens,Cleopatra 
1934,7,Film Editing,1,Conrad Nervig,Eskimo 
1934,7,Film Editing,,Gene Milford,One Night of Love 
1934,7,Music (Scoring),,"Max Steiner: head of department, RKO Radio Studio Music Department; Kenneth Webb; Samuel Hoffenstein",The Gay Divorcee 
1934,7,Music (Scoring),,"Max Steiner: head of department, RKO Radio Studio Music Department",The Lost Patrol 
1934,7,Music (Scoring),1,"Louis Silvers: head of department, Columbia Studio Music Department; Victor Schertzinger; Gus Kahn",One Night of Love 
1934,7,Music (Song),,Vincent Youmans: Music; Edward Eliscu: Lyrics; Gus Kahn: Lyrics;,"Flying Down to Rio: ""Carioca"""
1934,7,Music (Song),1,Con Conrad: Music; Herb Magidson: Lyrics,"The Gay Divorcee: ""The Continental"""
1934,7,Music (Song),,Ralph Rainger: Music; Leo Robin: Lyrics,"She Loves Me Not: ""Love In Bloom"""
1934,7,Outstanding Production,,Metro-Goldwyn-Mayer,The Barretts of Wimpole Street 
1934,7,Outstanding Production,,Paramount,Cleopatra 
1934,7,Outstanding Production,,First National,Flirtation Walk 
1934,7,Outstanding Production,,RKO Radio,The Gay Divorcee 
1934,7,Outstanding Production,,Warner Brothers,Here Comes the Navy 
1934,7,Outstanding Production,,20th Century,The House of Rothschild 
1934,7,Outstanding Production,,Universal,Imitation of Life 
1934,7,Outstanding Production,1,Columbia,It Happened One Night 
1934,7,Outstanding Production,,Columbia,One Night of Love 
1934,7,Outstanding Production,,Metro-Goldwyn-Mayer,The Thin Man 
